playerID,yearID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,BB,SO,ERA,IBB
cainle01,7881,23,19,68,64,8,1,0,1119,331,165,225,303,14.989999999999998,3.0
cainma01,26143,104,118,342,331,15,6,0,6257,1849,853,712,1694,50.629999999999995,42.0
cainsu01,13545,53,60,178,137,58,2,1,2962,1119,530,569,279,47.599999999999994,0.0
cairnca01,2000,1,0,15,0,0,0,0,28,11,4,3,8,3.86,1.0
caldwch01,1925,0,0,3,0,0,0,0,8,7,5,3,1,16.88,0.0
caldwea01,15522,33,43,200,49,18,5,25,1763,656,306,259,202,49.84,0.0
caldwmi01,29662,137,130,475,307,98,23,18,7226,2581,1020,597,939,55.629999999999995,62.0
caldwra01,3809,3,5,13,7,6,0,1,225,84,35,22,59,8.41,0.0
caldwra02,22986,133,120,343,260,184,21,9,6726,2089,802,738,1006,42.11999999999999,0.0
calerki01,14042,14,12,313,1,0,0,7,908,236,109,126,324,23.8,14.0
calhoje01,9930,6,7,118,0,0,0,5,452,120,42,65,104,24.33,15.0
calica01,6016,0,1,40,0,0,0,0,103,45,25,28,27,23.8,5.0
caligfr01,3883,2,5,18,7,4,0,1,239,90,40,32,27,9.31,0.0
calihwi01,3781,24,21,50,47,42,0,0,1225,427,188,172,155,9.709999999999999,0.0
callabe01,1983,1,2,4,2,0,0,0,28,18,13,5,2,12.54,1.0
callaja01,2017,0,0,9,0,0,0,0,20,7,3,1,5,4.05,0.0
callajo01,3879,1,2,10,3,1,0,0,97,37,23,16,11,13.32,0.0
callajo02,1898,0,2,2,2,1,0,0,25,18,15,7,2,16.2,0.0
callami01,10009,4,11,40,20,0,0,0,392,166,91,58,86,40.04,2.0
callani01,15194,99,73,195,177,169,11,2,4809,1748,603,437,445,33.78,0.0
callara01,1915,0,0,3,0,0,0,0,19,12,6,1,4,8.53,0.0
calmudi01,3930,3,1,22,2,0,0,0,145,37,17,16,26,10.97,1.0
calvema01,3967,3,8,28,9,1,0,0,208,86,44,43,19,11.329999999999998,5.0
calvepa01,13624,9,22,109,27,5,0,5,905,345,178,158,102,34.12,0.0
camacer01,19853,10,20,193,3,0,0,45,788,268,123,128,159,62.74999999999999,18.0
cambrfr01,1970,1,2,6,5,0,0,0,100,37,13,12,14,3.51,0.0
camerja01,1906,0,0,2,1,0,0,0,18,4,0,6,2,0.0,0.0
camerke01,6024,2,0,69,0,0,0,1,259,80,29,48,70,9.83,7.0
caminar01,10074,7,5,149,0,0,0,1,465,148,66,69,143,24.36,3.0
cammaer01,2000,0,0,8,0,0,0,0,30,7,7,10,9,6.3,1.0
camniha01,3820,1,0,3,0,0,0,0,18,6,2,2,3,4.5,0.0
camniho01,21009,133,106,326,236,137,20,15,6256,1852,637,656,915,35.870000000000005,0.0
campabe01,1965,0,0,1,0,0,0,0,3,1,1,2,1,9.0,0.0
campbar01,5787,2,6,40,4,1,0,6,258,111,56,47,29,26.43,0.0
campbbi01,7629,23,25,70,44,31,2,4,1223,411,127,93,116,14.82,0.0
campbbi02,29700,83,68,700,9,2,1,126,3688,1139,484,495,864,58.760000000000005,100.0
campbbr02,2006,0,0,4,0,0,0,0,13,4,5,2,4,10.38,0.0
campbda02,3955,4,10,118,0,0,0,14,474,145,67,82,87,7.85,18.0
campbji03,1990,1,0,2,2,0,0,0,29,15,9,1,2,8.38,0.0
campbjo01,1933,0,0,1,0,0,0,0,3,1,0,1,0,0.0,0.0
campbke01,9965,4,3,77,5,0,0,1,415,127,70,80,83,22.75,4.0
campbmi01,11946,12,19,51,41,3,0,0,700,242,152,95,135,45.160000000000004,3.0
campeca01,1977,1,0,3,1,0,0,0,28,7,4,4,9,3.86,1.0
campfsa01,1896,1,1,6,2,2,0,0,81,31,12,6,6,4.0,0.0
campijo01,10035,9,7,52,26,1,0,0,542,188,85,48,121,30.240000000000002,2.0
campisa01,5910,3,2,50,0,0,0,4,190,62,19,47,35,8.0,13.0
campki01,3786,0,2,7,3,3,0,0,135,65,32,21,12,12.809999999999999,0.0
campojo01,2016,0,0,1,0,0,0,0,17,4,2,2,4,3.18,0.0
campole01,8062,1,0,38,0,0,0,0,131,39,23,27,49,22.5,2.0
campri01,17826,56,49,414,65,5,0,57,2827,970,353,336,407,32.449999999999996,58.0
campsh01,22099,29,33,541,0,0,0,12,1777,682,290,176,403,53.08,40.0
canavhu01,1918,0,4,11,3,3,0,0,140,70,33,15,18,6.36,0.0
candejo01,43657,177,122,600,356,54,13,29,7577,2399,935,592,1673,87.21,63.0
candimi01,15578,26,21,174,37,13,5,8,1613,530,234,250,183,32.459999999999994,0.0
candito01,31862,151,164,451,410,68,11,0,8175,2662,1130,883,1735,76.19,31.0
caneijo01,3955,2,2,8,6,0,0,0,109,35,19,19,17,11.120000000000001,2.0
cangejo01,5980,0,0,3,0,0,0,0,12,1,0,2,0,0.0,0.0
canojo01,1989,1,1,6,3,1,0,0,69,24,13,7,8,5.09,2.0
cansejo01,1993,0,0,1,0,0,0,0,3,2,3,3,0,27.0,0.0
cantrgu01,7709,2,7,38,7,4,0,0,297,115,47,47,45,16.36,0.0
cantwbe01,21252,76,108,316,163,75,6,21,4602,1640,666,382,348,57.78999999999999,0.0
cantwmi01,5755,1,6,11,4,2,0,0,158,61,27,26,14,9.459999999999999,0.0
cantwto01,3819,1,0,8,1,1,0,0,69,18,6,10,7,15.16,0.0
capeljo01,12037,5,7,99,2,0,0,0,370,127,67,50,98,33.95,9.0
capelmi01,5969,3,4,49,0,0,0,3,187,73,32,29,43,142.94,3.0
capildo01,11871,12,18,136,31,1,0,0,877,273,141,173,178,53.31,9.0
cappsca01,10071,4,3,129,0,0,0,0,443,147,69,48,184,21.16,4.0
cappsma01,18078,29,33,444,0,0,0,138,1319,439,172,84,319,32.059999999999995,24.0
cappuge01,3963,1,2,35,3,0,0,1,159,44,19,25,32,6.27,3.0
caprabu01,13818,31,37,142,61,16,5,5,1633,479,234,258,362,37.45,32.0
